productId,name,subType,rarity,printing,marketPrice,lowPrice,highPrice,lastUpdated
592194,Deep Sea Diva (UR),1st Edition,,,0.14,0.01,2.26,
592195,Swap Frog (PCR),1st Edition,,,0.82,0.49,13.9,
592196,Swap Frog (Platinum Secret Rare),1st Edition,,,2.85,2.5,49.99,
592197,Swap Frog (Quarter Century Secret Rare),1st Edition,,,8.09,7.91,39.99,
592198,Swap Frog (Secret Rare),1st Edition,,,0.43,0.06,4.99,
592199,Swap Frog,1st Edition,,,0.2,0.04,2.19,
592200,Swap Frog (PUR),1st Edition,,,1.06,0.4,14.0,
592201,Swap Frog (UR),1st Edition,,,0.18,0.01,3.0,
592202,Atlantean Dragoons (PCR),1st Edition,,,0.84,0.2,14.4,
592203,Atlantean Dragoons (Platinum Secret Rare),1st Edition,,,1.08,0.89,28.18,
592204,Atlantean Dragoons (Quarter Century Secret Rare),1st Edition,,,3.35,2.7,45.0,
592205,Atlantean Dragoons (Secret Rare),1st Edition,,,0.3,0.05,4.0,
592206,Atlantean Dragoons,1st Edition,,,0.14,0.01,1.95,
592207,Atlantean Dragoons (PUR),1st Edition,,,0.54,0.19,5.4,
592208,Atlantean Dragoons (UR),1st Edition,,,0.14,0.01,2.64,
592209,Mermail Abyssteus (PCR),1st Edition,,,0.6,0.35,13.9,
592210,Mermail Abyssteus (Platinum Secret Rare),1st Edition,,,0.96,0.5,9.84,
592211,Mermail Abyssteus (Quarter Century Secret Rare),1st Edition,,,3.03,1.79,50.0,
592212,Mermail Abyssteus (Secret Rare),1st Edition,,,0.2,0.01,4.0,
592213,Mermail Abyssteus,1st Edition,,,0.11,0.01,1.53,
592214,Mermail Abyssteus (PUR),1st Edition,,,0.42,0.2,14.0,
592215,Mermail Abyssteus (UR),1st Edition,,,0.09,0.01,2.26,
592216,"Redox, Dragon Ruler of Boulders (PCR)",1st Edition,,,1.76,1.06,14.99,
592217,"Redox, Dragon Ruler of Boulders (Platinum Secret Rare)",1st Edition,,,2.32,2.0,17.99,
